time,plate_num
00:15.000,A###A###
00:16.000,A777AA77
00:42.000,A059XO#2
00:42.200,B069YO12
00:42.600,P069XO#8
00:42.800,P069XO78
00:43.400,P069XO73
00:46.800,P069XO73
01:24.000,T404PB13
01:24.600,T404PB72
01:24.800,T404PB22
01:25.000,T404PB78
01:25.200,T404PB73
01:27.200,T404PB73
01:29.200,T404PB73
01:31.200,T404PB73
01:33.200,T404PB73
01:35.200,T404PB73
01:37.200,T404PB73
01:48.400,H175XH72
01:48.600,H175XH73
02:10.000,H175XH73
02:11.200,H175XH78
02:11.400,H175XH72
02:12.200,H175XH73
02:12.400,H175YM79
02:13.400,H175HH99
02:48.800,T971EB77
02:49.200,T971EE72
02:49.600,T971EE73
02:50.800,T971EE78
02:51.600,T971EE73
02:53.600,T971EE73
02:53.800,T971EE78
03:03.600,A307#K77
03:03.800,A158#M01
03:04.000,A350KM74
03:04.200,A358CH78
03:04.400,A358CH22
03:04.600,A358C#78
03:04.800,A358CM78
03:05.000,A358CM73
03:06.000,A358CM43
03:07.400,A358CM73
03:09.400,A358CM73
03:10.200,A358CM78
03:11.400,A358CM73
03:21.600,H634AA#4
03:22.000,M884HH98
03:22.200,H884HC98
03:23.600,M884###8
03:23.800,M884H#78
03:24.000,M884HE16
03:24.200,M884HE13
03:24.600,M884HC83
03:24.800,M884HC16
03:25.200,M884H#77
03:25.400,M884HC#3
03:25.600,M884HC78
03:26.000,M884#H01
03:37.200,A666HH99
03:37.800,T455CH77
03:38.200,T655CK66
